service_request_id,date_received,ward,service_type,status,response_days
SR-102484,2023-11-15,7,Trash Collection,In Progress,28
SR-101426,2023-08-13,5,pothole,Closed,4
SR-103055,2023-11-14,7,Trash Collection,closed,12
SR-100928,2023-08-16,4,Streetlight Out,In Progress,21
SR-103134,2023-04-24,8,Streetlight Out,closed,3
SR-103288,2023-02-27,8,Rodent Inspection,Closed,26
SR-100289,2023-04-19,2,Streetlight Out,Open,16
SR-102619,2023-12-21,7,Trash Collection,Resolved,13
SR-102788,2023-12-08,7,Streetlight Out,Open,11
SR-101032,2023-06-02,4,Rodent Inspection,Open,19
SR-100948,2023-02-28,4,POTHOLE,Closed,12
SR-101525,2023-05-25,5,Streetlight Out,In Progress,11
SR-102590,2023-02-03,7,POTHOLE,closed,23
SR-100827,N/A,3,Pothole,Closed,19
SR-103243,2023-01-24,8,Trash Collection,closed,4
SR-102918,2023-06-21,7,Illegal Dumping,Open,9
SR-102022,2023-12-17,6,POTHOLE,Closed,21
SR-101683,2023-05-10,5,Streetlight Out,Open,649
SR-100688,2023-11-17,3,Pothole,Closed,15
SR-101344,2023-07-21,5,pothole,closed,14
SR-101010,2023-12-08,4,Trash Collection,Resolved,25
SR-100514,2023-09-19,3,POTHOLE,Closed,4
SR-101765,2023-06-13,6,Trash Collection,Resolved,19
SR-101774,N/A,6,Streetlight Out,In Progress,22
SR-102387,2023-01-04,6,Noise Complaint,Open,20
SR-100164,2023-03-22,1,Noise Complaint,Resolved,28
SR-100690,2023-03-10,3,Pothole,closed,19
SR-101903,2023-01-19,6,Pothole,closed,600
SR-102238,2023-08-26,6,Illegal Dumping,In Progress,28
SR-102472,2023-01-03,7,Noise Complaint,In Progress,15
SR-102686,2023-06-14,7,Noise Complaint,Open,28
SR-102261,2023-06-25,6,Streetlight Out,Closed,13
SR-103309,2023-08-03,8,Rodent Inspection,closed,26
SR-102386,2023-10-18,6,Trash Collection,In Progress,7
SR-102147,2023-07-21,6,Streetlight Out,Closed,5
SR-100543,2023-06-13,3,Pothole,Open,12
SR-102906,2023-06-25,7,pothole,Resolved,6
SR-100013,2023-10-23,1,Rodent Inspection,In Progress,7
SR-100310,2023-03-22,2,Noise Complaint,In Progress,27
SR-101434,2023-10-07,5,Streetlight Out,In Progress,9
SR-100621,2023-06-26,3,Trash Collection,In Progress,24
SR-101812,2023-01-10,6,pothole,Open,12
SR-102243,2023-02-16,6,Rodent Inspection,Open,11
SR-101189,2023-02-25,4,Illegal Dumping,Resolved,9
SR-102747,2023-01-26,7,pothole,closed,23
SR-102323,,,Pothole,Closed,20
SR-102784,2023-09-15,7,Noise Complaint,Resolved,26
SR-101342,2023-06-14,5,Pothole,Closed,7
SR-102329,N/A,6,POTHOLE,Resolved,21
SR-103280,2023-02-04,8,Trash Collection,Open,23
SR-102654,2023-06-17,7,pothole,In Progress,4
SR-102505,2023-01-10,7,Trash Collection,In Progress,1
SR-100195,2023-09-20,2,Trash Collection,Open,23
SR-103170,2023-10-19,8,Illegal Dumping,In Progress,29
SR-102120,2023-01-21,6,Illegal Dumping,closed,23
SR-102121,2023-05-24,6,Pothole,closed,22
SR-101967,2023-02-06,6,Noise Complaint,In Progress,18
SR-100594,0000-00-00,3,Trash Collection,In Progress,27
SR-103125,2023-11-04,8,pothole,Closed,29
SR-101712,2023-07-24,5,Streetlight Out,Closed,10
SR-103352,2023-12-15,8,Illegal Dumping,closed,4
SR-102742,2023-01-10,7,Illegal Dumping,Resolved,23
SR-101936,2023-04-19,6,pothole,closed,16
SR-101187,2023-03-07,4,Rodent Inspection,In Progress,30
SR-102615,2023-11-16,7,Pothole,Closed,4
SR-100014,2023-03-06,1,Illegal Dumping,Open,17
SR-100924,2023-04-05,4,Rodent Inspection,In Progress,18
SR-100959,2023-10-13,4,Rodent Inspection,closed,6
SR-101193,2023-06-19,4,pothole,Resolved,3
SR-102846,2023-12-18,7,Streetlight Out,closed,30
SR-101894,2023-07-07,6,Trash Collection,Open,26
SR-100532,2023-10-20,3,Trash Collection,Open,20
SR-102591,2023-06-17,7,Illegal Dumping,In Progress,23
SR-102177,2023-03-07,6,Streetlight Out,Open,1
SR-101428,2023-12-03,5,POTHOLE,closed,20
SR-100058,2023-04-20,1,pothole,Closed,692
SR-102764,2023-05-25,7,Illegal Dumping,Open,14
SR-103126,2023-08-28,8,Noise Complaint,Open,8
SR-103214,2023-08-16,8,Rodent Inspection,Resolved,11
SR-103005,2023-07-23,7,Streetlight Out,Open,20
SR-102089,2023-03-06,6,Noise Complaint,In Progress,19
SR-102084,2023-03-01,6,Pothole,Resolved,2
SR-100717,2023-11-26,3,Illegal Dumping,Resolved,19
SR-101980,2023-12-16,6,pothole,closed,22
SR-102786,2023-01-02,7,pothole,Resolved,8
SR-102654,2023-06-17,7,pothole,In Progress,4
SR-100861,2023-10-28,3,Streetlight Out,Closed,22
SR-101638,2023-04-02,5,Rodent Inspection,Closed,23
SR-102945,2023-05-09,7,Illegal Dumping,Closed,20
SR-102066,2023-02-07,6,Pothole,Resolved,10
SR-100146,2023-06-12,1,Streetlight Out,Closed,14
SR-101918,2023-07-01,6,Rodent Inspection,In Progress,10
SR-101878,2023-07-27,6,Rodent Inspection,In Progress,10
SR-101996,2023-07-04,6,pothole,Open,5
SR-100070,2023-12-26,1,Illegal Dumping,Open,27
SR-101587,2023-06-15,5,POTHOLE,In Progress,7
SR-103090,0000-00-00,7,pothole,In Progress,508
SR-100859,2023-06-15,3,Noise Complaint,closed,19
SR-101468,2023-08-27,5,Illegal Dumping,Closed,23
SR-100047,2023-09-11,1,Illegal Dumping,closed,545
SR-102240,2023-06-16,6,Streetlight Out,Open,6
SR-101514,2023-11-09,5,Noise Complaint,closed,30
SR-103123,2023-03-07,8,pothole,In Progress,21
SR-101838,2023-09-28,6,Rodent Inspection,Open,6
SR-102559,2023-02-08,7,Noise Complaint,Resolved,27
SR-100962,2023-07-18,4,Trash Collection,In Progress,27
SR-100539,2023-03-16,3,Illegal Dumping,Closed,20
SR-101284,2023-11-04,5,Trash Collection,In Progress,24
SR-101989,2023-08-02,6,Rodent Inspection,In Progress,4
SR-101022,2023-07-18,4,Pothole,Open,794
SR-101496,2023-01-25,5,Rodent Inspection,Open,12
SR-100108,2023-01-07,1,Streetlight Out,Closed,16
SR-100338,2023-08-05,2,Rodent Inspection,In Progress,9
SR-101842,2023-09-24,,Streetlight Out,Open,29
SR-101708,2023-10-07,5,POTHOLE,Open,24
SR-102385,2023-03-09,6,Rodent Inspection,In Progress,4
SR-103215,2023-02-01,8,POTHOLE,In Progress,9
SR-102758,2023-04-16,7,Illegal Dumping,Closed,8
SR-103148,2023-12-03,8,Illegal Dumping,Resolved,5
SR-100898,2023-02-10,3,Trash Collection,Closed,28
SR-100289,2023-04-19,2,Streetlight Out,Open,16
SR-103388,2023-07-04,8,Rodent Inspection,Resolved,20
SR-101229,2023-03-17,4,POTHOLE,Resolved,2
SR-103010,2023-04-18,7,Illegal Dumping,Resolved,565
SR-100173,2023-01-20,,Illegal Dumping,closed,15
SR-102805,2023-11-20,7,Rodent Inspection,closed,18
SR-101749,2023-11-07,5,Noise Complaint,Closed,19
SR-101762,2023-03-15,6,Streetlight Out,closed,22
SR-101766,2023-04-11,6,Pothole,Resolved,3
SR-100506,0000-00-00,3,Noise Complaint,Resolved,26
SR-101856,2023-10-16,6,Rodent Inspection,Open,25
SR-101138,2023-09-14,4,Noise Complaint,In Progress,9
SR-100045,2023-11-21,1,Rodent Inspection,closed,18
SR-103196,2023-09-19,8,Illegal Dumping,Open,4
SR-101846,2023-08-28,6,Rodent Inspection,closed,20
SR-100937,2023-04-26,4,Streetlight Out,closed,27
SR-102290,2023-11-17,6,Noise Complaint,closed,1
SR-101735,2023-05-26,5,pothole,Closed,2
SR-103404,N/A,8,Noise Complaint,In Progress,23
SR-103219,2023-11-26,8,Pothole,Resolved,1
SR-100659,2023-10-21,,POTHOLE,closed,10
SR-100739,2023-11-08,3,Streetlight Out,Closed,24
SR-103145,2023-08-10,8,Streetlight Out,Closed,11
SR-103385,2023-09-05,,Trash Collection,In Progress,4
SR-100710,2023-02-17,3,Noise Complaint,In Progress,9
SR-100445,2023-11-18,2,Illegal Dumping,closed,23
SR-102162,2023-07-03,6,Illegal Dumping,In Progress,3
SR-102475,2023-05-13,7,Noise Complaint,Open,9
SR-103342,2023-06-17,8,pothole,In Progress,28
SR-101985,2023-08-25,6,Trash Collection,Open,21
SR-102121,2023-05-24,6,Pothole,closed,22
SR-100255,2023-06-15,2,Noise Complaint,Resolved,21
SR-102670,0000-00-00,,Noise Complaint,Closed,25
SR-101800,2023-02-07,,pothole,closed,20
SR-101662,2023-11-14,5,Rodent Inspection,In Progress,6
SR-101347,2023-08-09,5,Noise Complaint,In Progress,11
SR-103187,2023-12-03,8,pothole,Closed,6
SR-102906,2023-06-25,7,pothole,Resolved,6
SR-100399,,2,Illegal Dumping,Closed,25
SR-103371,2023-06-02,8,POTHOLE,Open,28
SR-101783,2023-09-23,6,Rodent Inspection,Open,30
SR-100430,2023-02-13,2,Illegal Dumping,Closed,14
SR-100537,2023-05-03,3,Noise Complaint,In Progress,22
SR-100009,2023-02-11,1,Illegal Dumping,Open,23
SR-102878,2023-05-16,7,Trash Collection,Closed,7
SR-100575,2023-10-13,3,Illegal Dumping,closed,3
SR-101160,2023-10-06,4,Trash Collection,Closed,22
SR-101945,2023-04-06,6,Noise Complaint,Closed,3
SR-102943,2023-12-09,7,Illegal Dumping,closed,22
SR-100035,2023-09-25,1,Trash Collection,Open,23
SR-100530,2023-10-22,3,Illegal Dumping,Resolved,2
SR-101449,2023-01-11,5,Rodent Inspection,Resolved,21
SR-101597,2023-12-16,5,POTHOLE,Open,29
SR-100750,2023-04-18,3,pothole,In Progress,12
SR-101097,2023-01-10,4,Streetlight Out,Open,12
SR-100592,2023-03-09,3,Illegal Dumping,closed,9
SR-101373,2023-06-05,5,Trash Collection,closed,10
SR-101674,2023-07-14,5,Trash Collection,Open,29
SR-100704,2023-01-09,3,Streetlight Out,Closed,8
SR-102734,2023-10-09,7,Trash Collection,Open,23
SR-102726,2023-08-26,7,Rodent Inspection,In Progress,22
SR-101541,2023-09-27,5,Streetlight Out,closed,30
SR-103022,2023-07-18,7,Trash Collection,Resolved,23
SR-100333,2023-03-16,2,Pothole,Open,15
SR-102593,2023-10-09,7,Noise Complaint,Open,15
SR-100857,2023-01-28,3,Pothole,Open,2
SR-100037,2023-05-06,1,Noise Complaint,closed,7
SR-102236,2023-12-19,6,Noise Complaint,closed,7
SR-100614,2023-05-23,3,Pothole,Open,27
SR-100237,,2,Rodent Inspection,Open,4
SR-102310,2023-04-25,6,pothole,Open,11
SR-102543,2023-02-17,7,Illegal Dumping,Closed,3
SR-100977,2023-04-15,4,Trash Collection,Open,20
SR-100177,2023-10-10,1,Noise Complaint,Open,27
SR-100540,2023-10-17,3,Rodent Inspection,closed,15
SR-100595,2023-12-18,3,Rodent Inspection,In Progress,8
SR-102808,2023-09-23,7,Rodent Inspection,Resolved,6
SR-101307,2023-12-13,5,Pothole,closed,28
SR-102851,2023-03-13,7,pothole,Resolved,24
SR-101198,2023-03-28,4,Noise Complaint,Open,4
SR-100023,2023-02-21,1,pothole,Open,19
SR-101459,2023-10-17,5,Illegal Dumping,Closed,21
SR-101470,N/A,5,Streetlight Out,In Progress,27
SR-102442,2023-02-15,7,Pothole,Open,14
SR-101906,2023-01-08,6,Illegal Dumping,Resolved,7
SR-102105,2023-09-14,6,Trash Collection,Resolved,6
SR-102354,2023-05-28,6,POTHOLE,In Progress,14
SR-100442,2023-04-13,2,Pothole,In Progress,10
SR-102754,2023-08-19,7,Noise Complaint,Closed,22
SR-101943,2023-12-05,6,Noise Complaint,In Progress,11
SR-102910,2023-11-01,7,Illegal Dumping,closed,30
SR-100393,2023-04-24,2,Streetlight Out,In Progress,1
SR-101066,N/A,4,Rodent Inspection,Resolved,16
SR-102979,2023-12-17,7,Illegal Dumping,Closed,9
SR-101395,2023-10-08,5,Pothole,closed,17
SR-102331,2023-01-20,6,Illegal Dumping,Open,21
SR-100509,2023-06-19,3,POTHOLE,Closed,23
SR-102332,2023-09-04,6,Illegal Dumping,In Progress,26
SR-102029,2023-01-23,6,Pothole,Open,21
SR-100541,2023-10-28,3,POTHOLE,Open,1
SR-100203,2023-03-18,2,Illegal Dumping,Open,8
SR-102647,2023-09-11,7,Rodent Inspection,Closed,17
SR-101607,2023-11-01,5,Trash Collection,Closed,24
SR-102117,2023-10-23,6,Trash Collection,Closed,6
SR-102014,2023-03-23,6,Rodent Inspection,Open,13
SR-100672,2023-10-23,3,POTHOLE,Closed,5
SR-101753,2023-02-05,5,pothole,Resolved,4
SR-101656,0000-00-00,,Illegal Dumping,In Progress,1
SR-101375,2023-12-26,5,Pothole,In Progress,6
SR-102975,2023-08-28,7,Illegal Dumping,In Progress,29
SR-101799,2023-08-23,6,Noise Complaint,Resolved,25
SR-100982,2023-04-23,4,Noise Complaint,closed,30
SR-102389,2023-10-07,6,Streetlight Out,In Progress,16
SR-100790,2023-04-16,3,Noise Complaint,Resolved,13
SR-100688,2023-11-17,3,Pothole,Closed,15
SR-100104,2023-06-21,1,POTHOLE,Closed,714
SR-100639,2023-01-24,3,pothole,Resolved,719
SR-100472,2023-08-20,2,Pothole,Resolved,11
SR-101596,2023-07-09,5,Streetlight Out,Resolved,4
SR-102599,2023-03-24,7,Pothole,In Progress,18
SR-103110,2023-02-19,7,Trash Collection,Resolved,28
SR-102573,2023-11-27,7,Trash Collection,Resolved,23
SR-101809,2023-05-13,6,POTHOLE,Resolved,21
SR-101404,2023-01-13,5,Pothole,Closed,24
SR-102792,2023-09-19,7,Rodent Inspection,Open,13
SR-102640,2023-08-23,7,Illegal Dumping,Open,11
SR-101938,2023-02-22,6,Illegal Dumping,In Progress,443
SR-100354,2023-07-18,2,Illegal Dumping,Resolved,23
SR-102739,2023-12-08,7,Streetlight Out,closed,26
SR-101539,2023-02-05,5,pothole,closed,18
SR-102641,2023-02-17,7,Trash Collection,closed,4
SR-103153,2023-01-01,8,Rodent Inspection,Closed,21
SR-102152,2023-04-24,6,Noise Complaint,Open,22
SR-102176,2023-04-01,6,Trash Collection,closed,15
SR-103112,2023-07-10,7,Trash Collection,Closed,29
SR-101891,2023-12-15,6,Trash Collection,closed,24
SR-103365,2023-06-04,8,Rodent Inspection,closed,28
SR-101122,2023-06-06,4,pothole,Open,28
SR-102149,2023-06-23,6,Streetlight Out,Closed,26
SR-102699,2023-05-09,7,Trash Collection,closed,14
SR-103221,2023-01-19,8,Streetlight Out,Closed,14
SR-100744,2023-09-20,3,POTHOLE,Open,30
SR-100619,2023-06-17,3,Pothole,Resolved,15
SR-100718,2023-11-14,3,Streetlight Out,closed,9
SR-100127,2023-11-07,1,Noise Complaint,Closed,11
SR-100847,2023-01-23,3,pothole,Closed,10
SR-100176,2023-07-16,1,Streetlight Out,In Progress,5
SR-103130,2023-09-01,8,Pothole,In Progress,18
SR-102634,2023-08-10,7,Streetlight Out,Closed,4
SR-102145,2023-01-05,6,Streetlight Out,Closed,6
SR-103103,2023-01-14,7,Streetlight Out,Open,24
SR-101145,2023-12-09,4,Illegal Dumping,closed,24
SR-100422,2023-08-19,2,Streetlight Out,In Progress,11
SR-102134,2023-06-07,6,Trash Collection,Closed,19
SR-103100,2023-08-17,7,Rodent Inspection,Open,21
SR-101576,2023-05-25,5,Illegal Dumping,In Progress,24
SR-100907,2023-08-06,4,Noise Complaint,Resolved,12
SR-102203,2023-02-13,6,Trash Collection,closed,1
SR-101686,2023-12-21,5,Streetlight Out,Open,22
SR-101050,2023-02-13,4,Trash Collection,Closed,10
SR-103140,2023-03-09,8,Streetlight Out,In Progress,2
SR-101144,2023-11-26,4,Trash Collection,Resolved,27
SR-102527,2023-02-14,7,Trash Collection,In Progress,24
SR-100456,2023-07-21,2,Streetlight Out,In Progress,29
SR-100939,2023-12-25,4,Noise Complaint,Open,12
SR-101356,2023-08-01,5,pothole,In Progress,23
SR-102492,2023-06-19,7,Trash Collection,closed,11
SR-100605,2023-11-13,3,Illegal Dumping,Open,17
SR-101810,2023-12-19,6,Trash Collection,Open,9
SR-101914,2023-05-14,,Noise Complaint,Resolved,30
SR-101978,2023-09-01,6,Illegal Dumping,In Progress,19
SR-101441,2023-04-11,5,Noise Complaint,Resolved,30
SR-103339,2023-07-18,8,Rodent Inspection,Resolved,1
SR-102257,2023-10-08,6,Illegal Dumping,closed,3
SR-100163,2023-01-07,1,Trash Collection,Closed,3
SR-102410,2023-12-02,7,Noise Complaint,closed,11
SR-100825,2023-11-11,3,Rodent Inspection,Resolved,9
SR-101556,2023-02-24,5,Trash Collection,Closed,9
SR-101489,2023-03-26,5,Rodent Inspection,closed,725
SR-103370,2023-05-10,8,Rodent Inspection,closed,23
SR-102438,2023-01-22,7,Noise Complaint,Resolved,8
SR-100324,2023-09-14,2,Pothole,Resolved,13
SR-102981,2023-07-07,7,Noise Complaint,Resolved,30
SR-101001,2023-05-10,4,Trash Collection,Resolved,26
SR-101789,2023-02-16,6,POTHOLE,Open,17
SR-102055,2023-02-19,6,Rodent Inspection,In Progress,2
SR-100665,2023-01-17,3,Rodent Inspection,Open,17
SR-103302,2023-03-08,8,Noise Complaint,Resolved,20
SR-102002,N/A,6,Noise Complaint,In Progress,16
SR-102317,2023-02-06,6,Streetlight Out,In Progress,30
SR-100134,2023-08-04,1,Rodent Inspection,In Progress,20
SR-103144,2023-10-12,8,Trash Collection,Resolved,18
SR-100617,2023-12-09,3,Trash Collection,In Progress,28
SR-100720,2023-06-22,3,Trash Collection,Open,10
SR-103066,2023-04-10,7,Illegal Dumping,Closed,3
SR-102227,2023-12-19,6,Illegal Dumping,Closed,432
SR-101321,2023-12-14,5,Trash Collection,Open,17
SR-101415,2023-05-14,5,Streetlight Out,closed,17
SR-100515,,3,Noise Complaint,Closed,11
SR-102812,2023-01-11,7,Illegal Dumping,closed,13
SR-101844,2023-11-20,6,pothole,In Progress,596
SR-100410,2023-07-21,2,Streetlight Out,Open,1
SR-101350,2023-12-16,5,Illegal Dumping,closed,28
SR-100927,2023-09-09,,Trash Collection,Closed,17
SR-102353,0000-00-00,6,pothole,closed,30
SR-103349,2023-09-17,8,Trash Collection,closed,21
SR-101242,,4,Streetlight Out,Closed,30
SR-102464,2023-06-28,7,Pothole,Resolved,20
SR-103323,2023-08-08,8,pothole,Resolved,4
SR-100757,2023-06-11,3,Streetlight Out,closed,11
SR-100903,2023-02-19,4,Noise Complaint,Resolved,14
SR-101721,2023-02-26,5,pothole,In Progress,17
SR-101167,2023-10-09,4,Streetlight Out,Resolved,21
SR-101910,2023-10-11,6,Illegal Dumping,closed,28
SR-102193,2023-02-14,6,Pothole,In Progress,361
SR-102007,2023-04-16,6,Illegal Dumping,Open,6
SR-101207,2023-12-16,4,Pothole,closed,2
SR-101293,2023-09-28,5,Illegal Dumping,closed,29
SR-101262,2023-08-19,5,pothole,Open,26
SR-102088,2023-02-08,6,Noise Complaint,In Progress,4
SR-103101,2023-12-04,7,Pothole,Resolved,17
SR-100829,2023-08-03,3,Noise Complaint,Closed,10
SR-100997,2023-03-24,4,Noise Complaint,closed,1
SR-100737,2023-12-21,3,Rodent Inspection,Open,6
SR-100319,2023-06-03,2,Noise Complaint,closed,25
SR-102601,2023-07-06,7,Trash Collection,closed,7
SR-101730,2023-03-12,5,Streetlight Out,Open,10
SR-101044,2023-12-26,4,Noise Complaint,In Progress,1
SR-102522,2023-03-11,7,Trash Collection,Resolved,19
SR-102525,2023-05-16,7,Streetlight Out,Resolved,3
SR-101248,2023-06-20,4,pothole,closed,29
SR-101231,2023-08-18,4,Streetlight Out,Resolved,21
SR-102578,2023-05-27,7,POTHOLE,Resolved,26
SR-100314,2023-04-10,2,pothole,Resolved,9
SR-101987,2023-02-20,6,Noise Complaint,Resolved,6
SR-103051,2023-09-09,7,Pothole,In Progress,21
SR-100215,2023-08-24,2,Illegal Dumping,Closed,1
SR-101655,2023-02-05,5,Noise Complaint,closed,24
SR-101380,2023-05-17,5,Streetlight Out,In Progress,18
SR-100053,2023-11-23,1,pothole,In Progress,27
SR-101397,2023-07-21,5,Pothole,closed,17
SR-100762,2023-06-10,3,Illegal Dumping,Open,23
SR-103094,2023-06-05,7,Noise Complaint,closed,13
SR-101603,2023-10-11,5,Illegal Dumping,In Progress,11
SR-102580,2023-11-17,7,POTHOLE,closed,15
SR-100863,2023-04-05,3,Streetlight Out,Open,20
SR-100507,2023-09-11,3,Illegal Dumping,Resolved,18
SR-101659,2023-10-19,5,pothole,Open,7
SR-101169,2023-04-05,4,POTHOLE,Resolved,20
SR-101843,2023-12-14,6,Illegal Dumping,Closed,28
SR-101565,2023-03-27,5,Streetlight Out,closed,14
SR-102360,2023-08-07,6,Noise Complaint,In Progress,21
SR-101455,2023-03-13,5,Illegal Dumping,closed,1
SR-102921,2023-10-26,7,Streetlight Out,Resolved,14
SR-100499,2023-07-27,3,Streetlight Out,Open,26
SR-100755,2023-06-06,3,Noise Complaint,closed,5
SR-102205,2023-05-14,6,Illegal Dumping,Resolved,18
SR-101378,,5,Rodent Inspection,closed,15
SR-100396,2023-09-26,2,Rodent Inspection,closed,5
SR-100283,2023-02-17,2,Noise Complaint,closed,26
SR-100656,2023-10-16,3,Illegal Dumping,Open,1
SR-102660,2023-12-28,7,Illegal Dumping,closed,30
SR-103100,2023-08-17,7,Rodent Inspection,Open,21
SR-101162,2023-02-05,4,Noise Complaint,Open,6
SR-101410,2023-04-20,,Illegal Dumping,Open,27
SR-102290,2023-11-17,6,Noise Complaint,closed,1
SR-101836,,6,Noise Complaint,In Progress,5
SR-103277,2023-04-23,8,pothole,Open,1
SR-102723,2023-02-02,7,Noise Complaint,Closed,6
SR-102474,2023-11-07,,Illegal Dumping,closed,24
SR-102397,2023-04-14,6,POTHOLE,closed,4
SR-102441,2023-09-27,7,pothole,In Progress,15
SR-102506,2023-08-11,,Illegal Dumping,Resolved,29
SR-101775,2023-11-07,6,Pothole,Closed,19
SR-100390,2023-10-24,2,Illegal Dumping,In Progress,26
SR-100781,2023-01-17,,Illegal Dumping,Resolved,29
SR-101244,2023-06-06,4,Pothole,Open,12
SR-103115,2023-07-01,7,Streetlight Out,In Progress,29
SR-101461,2023-05-01,5,Trash Collection,Resolved,10
SR-102787,2023-12-27,7,Trash Collection,In Progress,9
SR-100878,2023-03-01,3,Illegal Dumping,Closed,23
SR-101369,2023-07-14,5,Illegal Dumping,closed,17
SR-100740,2023-02-01,3,Rodent Inspection,closed,28
SR-103294,2023-04-18,8,Rodent Inspection,In Progress,16
SR-100556,2023-02-09,3,Pothole,Closed,16
SR-100251,2023-07-27,2,Noise Complaint,closed,1
SR-102151,2023-08-08,6,Trash Collection,Resolved,13
SR-101802,2023-03-11,6,Trash Collection,Resolved,20
SR-102107,2023-11-02,6,pothole,Resolved,19
SR-102929,2023-11-13,7,Noise Complaint,Resolved,11
SR-100810,2023-04-19,3,Rodent Inspection,closed,796
SR-103077,2023-11-05,7,Trash Collection,Open,19
SR-101926,2023-08-15,6,Noise Complaint,closed,16
SR-101881,2023-02-19,6,Streetlight Out,Open,11
SR-100657,,3,Streetlight Out,Open,28
SR-100274,2023-02-27,2,Streetlight Out,In Progress,14
SR-101351,2023-02-09,5,Trash Collection,In Progress,14
SR-103209,2023-11-17,8,Illegal Dumping,In Progress,20
SR-100826,2023-09-20,3,Streetlight Out,Closed,29
SR-102818,2023-03-04,7,Noise Complaint,Open,23
SR-101183,2023-01-28,,Trash Collection,Closed,5
SR-101452,2023-04-18,5,Trash Collection,Resolved,15
SR-102058,2023-06-28,6,Pothole,Closed,4
SR-102498,2023-06-27,7,pothole,closed,16
SR-102891,2023-06-28,7,Trash Collection,Closed,3
SR-100890,2023-11-02,3,Trash Collection,In Progress,749
SR-102911,2023-10-05,7,pothole,closed,6
SR-100703,,3,Noise Complaint,Open,15
SR-103290,2023-08-18,8,Streetlight Out,Closed,18
SR-103270,2023-02-21,8,Illegal Dumping,Open,14
SR-102038,2023-09-03,6,Illegal Dumping,closed,10
SR-100873,2023-02-02,3,Trash Collection,In Progress,28
SR-101137,2023-08-04,4,Pothole,Closed,6
SR-102365,2023-05-11,6,Trash Collection,In Progress,20
SR-102862,2023-09-20,7,Trash Collection,Open,11
SR-101473,2023-02-23,5,Illegal Dumping,Open,10
SR-101128,2023-01-14,4,Rodent Inspection,Open,16
SR-102258,2023-08-25,6,Noise Complaint,Closed,21
SR-100406,2023-04-01,2,Rodent Inspection,Closed,15
SR-102106,2023-08-13,6,Noise Complaint,Open,12
SR-102768,2023-05-10,7,Noise Complaint,closed,14
SR-101714,2023-05-21,5,Streetlight Out,In Progress,28
SR-101872,2023-10-05,6,Pothole,closed,19
SR-102061,2023-02-16,6,Illegal Dumping,closed,24
SR-100266,2023-08-25,2,Illegal Dumping,closed,15
SR-101126,2023-04-06,4,Trash Collection,Open,16
SR-101360,2023-01-25,5,Rodent Inspection,In Progress,29
SR-102669,2023-09-27,7,pothole,closed,10
SR-100642,2023-08-23,3,Noise Complaint,closed,26
SR-102128,2023-03-06,6,Illegal Dumping,closed,25
SR-102356,2023-10-28,,Streetlight Out,Closed,27
SR-100419,2023-02-02,2,Trash Collection,In Progress,25
SR-103087,2023-05-16,7,Illegal Dumping,Closed,5
SR-102929,2023-11-13,7,Noise Complaint,Resolved,11
SR-101299,2023-07-27,5,Streetlight Out,closed,3
SR-101592,2023-08-27,5,Streetlight Out,closed,18
SR-103292,2023-05-13,8,Illegal Dumping,closed,7
SR-102233,2023-01-21,6,pothole,Resolved,17
SR-100569,2023-05-12,3,Noise Complaint,closed,28
SR-102115,2023-02-13,6,Illegal Dumping,Closed,18
SR-100838,2023-09-22,3,Noise Complaint,Resolved,659
SR-103233,2023-06-03,8,Streetlight Out,Open,21
SR-102518,2023-07-08,7,Streetlight Out,Open,4
SR-101671,2023-11-12,5,pothole,Open,8
SR-100088,2023-03-20,1,Trash Collection,Open,5
SR-100143,2023-12-05,1,POTHOLE,Open,22
SR-102160,2023-10-10,6,Pothole,closed,12
SR-101210,2023-03-01,4,Rodent Inspection,closed,20
SR-100602,2023-08-10,3,Streetlight Out,closed,7
SR-101698,2023-09-17,5,POTHOLE,Closed,22
SR-102384,2023-04-18,6,pothole,Open,18
SR-103013,2023-06-12,7,Pothole,closed,2
SR-100987,2023-07-10,,POTHOLE,closed,18
SR-102047,2023-03-24,6,POTHOLE,Resolved,16
SR-102072,2023-01-12,6,Trash Collection,In Progress,11
SR-101027,2023-02-17,4,POTHOLE,Closed,30
SR-100933,,4,pothole,Open,10
SR-102533,2023-08-01,7,Streetlight Out,In Progress,7
SR-101161,2023-07-03,4,POTHOLE,Open,29
SR-100030,2023-11-14,1,Trash Collection,Resolved,14
SR-102068,,6,Noise Complaint,Resolved,28
SR-101703,2023-09-10,5,Noise Complaint,Open,17
SR-101648,2023-06-26,,Noise Complaint,Open,23
SR-101238,2023-03-21,4,Noise Complaint,Closed,6
SR-101909,2023-02-12,6,Illegal Dumping,Resolved,5
SR-103061,2023-02-19,7,Streetlight Out,closed,26
SR-101445,2023-03-16,5,Pothole,Closed,13
SR-101879,,6,Illegal Dumping,Open,5
SR-103143,2023-01-10,8,Illegal Dumping,Closed,339
SR-100456,2023-07-21,2,Streetlight Out,In Progress,29
SR-102283,2023-12-16,6,Illegal Dumping,Open,30
SR-101818,,6,Illegal Dumping,Closed,7
SR-102833,2023-04-03,7,Streetlight Out,Open,28
SR-101574,2023-01-07,5,Illegal Dumping,Open,15
SR-103165,2023-01-26,8,Streetlight Out,closed,5
SR-101921,2023-11-19,6,Rodent Inspection,Resolved,16
SR-102602,0000-00-00,7,Illegal Dumping,closed,14
